system:index,Forest Loss Total,year,.geo
0,6729513.170642808,2001.0,
1,1.903465483563807E7,2002.0,
2,1.4506766108185174E7,2003.0,
3,4.006683481357158E7,2004.0,
4,2.5167250985043757E7,2005.0,
5,6.139667618207745E7,2006.0,
6,5.3952662322327144E7,2007.0,
7,6.058771306828924E7,2008.0,
8,4.883475748554999E7,2009.0,
9,9.71716505883509E7,2010.0,
10,4.864846103921592E7,2011.0,
11,5.496521147593707E7,2012.0,
12,3.1998807645687804E7,2013.0,
13,4.0395283845730655E7,2014.0,
14,3.2437734084536567E7,2015.0,
15,4.150554042842994E7,2016.0,
16,3.7778365201611325E7,2017.0,
17,4.238645010990014E7,2018.0,
18,5.0777956547096394E7,2019.0,
