system:index,Forest Loss Total,year,.geo
0,6726086.380786851,2001.0,
1,1.90317861737118E7,2002.0,
2,1.4506203881744744E7,2003.0,
3,3.99790874736668E7,2004.0,
4,2.5129457600217097E7,2005.0,
5,6.1388198648447074E7,2006.0,
6,5.390970906768847E7,2007.0,
7,6.689647841820307E7,2008.0,
8,4.8816053778457694E7,2009.0,
9,1.0404049407764894E8,2010.0,
10,4.851340318875206E7,2011.0,
11,5.4893727177963436E7,2012.0,
12,3.1998807645687804E7,2013.0,
13,4.039241962496649E7,2014.0,
14,3.23643901941557E7,2015.0,
15,4.145309962111792E7,2016.0,
16,3.7755030990551755E7,2017.0,
17,4.2385325683264405E7,2018.0,
18,5.077344920059982E7,2019.0,
